City,Rape,Kidnapping,DowryDeaths,AssaultWithIntentToOutrageModesty ,InsultToModesty,CrueltyByHusbandOrHisRelatives,ImportationOfGirlsFromForeignCountry,ImmoralTrafficPAct,DowryProhibitionAct,IndecentRepresentationOfWomenPAct,
AGRA,38,333,36,207,0,367,0,4,4,0,0
AHMEDABAD,100,367,11,162,3,802,0,14,0,0,0
ALLAHABAD,20,103,14,96,1,176,0,3,0,0,0
AMRITSAR,34,78,3,45,2,150,0,9,1,0,0
ASANSOL,16,104,28,158,1,490,0,2,0,0,0
BANGALORE,104,708,57,680,57,490,0,213,774,0,0
BHOPAL,178,290,16,289,13,295,0,2,0,0,0
CHENNAI,65,36,10,59,157,302,0,249,0,4,0
COIMBATORE,5,14,0,8,0,63,0,23,0,0,0
DELHI (CITY),1813,6016,127,3810,1111,2840,0,8,11,0,0
DHANBAD,13,39,9,18,0,31,0,0,48,0,0
FARIDABAD,101,384,20,94,16,302,0,4,0,0,0
HYDERABAD,126,374,22,393,87,1289,0,108,26,0,0
INDORE,185,439,23,301,31,182,0,3,0,0,0
JABALPUR,113,359,17,221,31,163,0,0,9,0,0
JAIPUR,263,653,33,455,0,1155,0,40,1,10,0
JAMSHEDPUR,36,64,8,30,0,85,0,0,168,0,0
KANPUR,19,233,27,129,1,440,0,0,7,0,0
KOCHI,64,4,0,158,18,166,0,44,0,4,0
KOLKATA,36,341,12,577,286,1141,2,25,1,0,0
LUCKNOW,52,348,31,229,2,562,0,10,34,1,0
LUDHIANA,111,246,5,98,19,158,0,17,0,1,0
MADURAI,6,27,1,22,1,69,0,50,0,0,0
MEERUT,40,233,20,217,0,399,0,3,0,0,0
MUMBAI,607,541,22,1626,363,563,0,58,2,0,0
NAGPUR,113,145,10,279,25,234,0,24,4,0,0
NASIK,28,59,3,101,3,200,1,2,0,0,0
PATNA,54,599,41,0,56,404,0,29,92,0,0
PUNE,189,228,20,454,98,391,0,61,0,0,0
RAJKOT,17,99,0,31,5,301,0,1,0,0,0
SURAT,94,263,2,70,0,405,0,4,0,0,0
VADODARA,23,93,1,109,8,306,0,3,0,0,0
VARANASI,27,97,11,116,3,180,0,0,0,0,0
VIJAYAWADA,64,42,10,279,212,642,0,120,0,0,0
VISHAKHAPATNAM,84,130,13,147,112,371,0,32,0,0,0
